New EF correspondence table,,,,,,,,
,,,,,,,,
,,,,,,,,
Sector,Subsector,Energy carrier,Energy carrier type,End Use Application,Scope,GREET Version,GREET Tab,GREET Pathway
Residential,-,Natural Gas,U.S. Average Mix,Space Cooling,,GREET1_2020,,
Residential,-,Natural Gas,U.S. Average Mix,Space Heating,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Natural Gas,U.S. Average Mix,Transportation Equipment Consumption,,GREET1_2020,,
Residential,-,Natural Gas,U.S. Average Mix,Water Heating,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Natural Gas,U.S. Average Mix,Wood Products Consumption,,GREET1_2020,,
Transportation,Refining Industry,Other Petroleum,-,-,,GREET1_2020,,
Industrial,Food Industry,Other Petroleum,-,-,,GREET1_2020,,
Industrial,Paper Industry,Other Petroleum,-,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Other Petroleum,-,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Other Petroleum,-,-,,GREET1_2020,,
Industrial,Aluminum Industry,Other Petroleum,-,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Other Petroleum,-,Balance of Manufacturing Consumption,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Other Petroleum,-,Construction,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Other Petroleum,-,Heat and Power,,GREET1_2020,,
Agriculture,Nonmanufacturing Sector,Other Petroleum,-,Mining,,GREET1_2020,,
Industrial,-,Other Petroleum,-,On farm energy use,,GREET1_2020,,
Commercial,-,Other Petroleum,-,Other Fuels,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Petrochemical Feedstocks,-,Feedstocks,,GREET1_2020,,
Transportation,Refining Industry,Petroleum Coke,Petroleum Coke,-,,GREET1_2020,,
Industrial,Paper Industry,Petroleum Coke,Petroleum Coke,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Petroleum Coke,Petroleum Coke,-,,GREET1_2020,,
Industrial,Aluminum Industry,Petroleum Coke,Petroleum Coke,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Petroleum Coke,Petroleum Coke,Balance of Manufacturing Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Petroleum Coke,Petroleum Coke,Computers Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Petroleum Coke,Petroleum Coke,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Petroleum Coke,Petroleum Coke,Fabricated Metal Products Consumption,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Petroleum Coke,Petroleum Coke,Heat and Power,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Petroleum Coke,Petroleum Coke,Machinery Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Petroleum Coke,Petroleum Coke,Transportation Equipment Consumption,,GREET1_2020,,
Industrial,Food Industry,Propane,-,-,,GREET1_2020,,
Industrial,Paper Industry,Propane,-,-,,GREET1_2020,,
Industrial,Glass Industry,Propane,-,-,,GREET1_2020,,
Industrial,Cement and Lime Industry,Propane,-,-,,GREET1_2020,,
Industrial,Iron and Steel Industry,Propane,-,-,,GREET1_2020,,
Industrial,Aluminum Industry,Propane,-,-,,GREET1_2020,,
Industrial,Other Manufacturing Industry,Propane,-,Balance of Manufacturing Consumption,,GREET1_2020,,
Commercial,On Road,Propane,-,Commercial Light Trucks,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Propane,-,Computers Consumption,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Propane,-,Construction,,GREET1_2020,,
Residential,-,Propane,-,Cooking,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Propane,-,Electrical Equipment Consumption,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Propane,-,Fabricated Metal Products Consumption,,GREET1_2020,,
Commercial,On Road,Propane,-,Freight Trucks,,GREET1_2020,,
Industrial,Bulk Chemical Industry,Propane,-,Heat and Power,,GREET1_2020,,
Transportation,On Road,Propane,-,Intercity Bus,,GREET1_2020,,
Commercial,On Road,Propane,-,Light-Duty Vehicle,,GREET1_2020,,
Industrial,Metal Based Durables Industry,Propane,-,Machinery Consumption,,GREET1_2020,,
