Mapping of LCI and Emissions Factors from GREET to Decarbonization Tool,,,,,,,
Mapping of life cycle inventory and emissions from GREET to Decarbonization Tool metadata conventions.,,,,,,,
,,,,,,,
Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Scope,GREET Tab,GREET Pathway
Commercial,-,Cooking,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Commercial,-,Other Uses,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Commercial,-,Space Heating,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Commercial Boiler
Commercial,-,Water Heating,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Commercial Boiler
Commercial,-,Other Uses,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Commercial Boiler
Industrial,Refining Industry,Petroleum Refining,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Refining Industry,Petroleum Refining,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Refining Industry,Petroleum Refining,Liquefied Petroleum Gas,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Refining Industry,Petroleum Refining,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Refining Industry,Petroleum Refining,Still Gas,Not Specified,"Direct, Combustion",EF,Refinery Still Gas: Industrial Boiler
Industrial,Refining Industry,Petroleum Refining,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Refining Industry,Petroleum Refining,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Refining Industry,Petroleum Refining,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Food,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Food,-,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Food,-,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Food,-,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Food,-,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Food,-,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Paper,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Paper,-,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Paper,-,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Paper,-,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Paper,-,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Paper,-,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Paper,-,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Bulk Chemical,Heat and Power,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Bulk Chemical,Heat and Power,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Bulk Chemical,Heat and Power,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Bulk Chemical,Heat and Power,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Bulk Chemical,Heat and Power,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Bulk Chemical,Heat and Power,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Bulk Chemical,Heat and Power,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Bulk Chemical,Feedstock,Natural Gas,Not Specified,"Direct, Combustion",,
Industrial,Glass,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Glass,-,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Glass,-,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Glass,-,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Glass,-,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Glass,-,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Cement and Lime,-,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Cement and Lime,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Cement and Lime,-,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Cement and Lime,-,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Cement and Lime,-,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Cement and Lime,-,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Cement and Lime,-,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Iron and Steel,-,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Iron and Steel,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Iron and Steel,-,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Iron and Steel,-,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Iron and Steel,-,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Iron and Steel,-,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Industrial,Aluminum,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Industrial Boiler
Industrial,Aluminum,-,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Industrial Boiler
Industrial,Aluminum,-,Propane,Not Specified,"Direct, Combustion",EF,LPG: Industrial Boiler
Industrial,Aluminum,-,Petroleum Coke,Not Specified,"Direct, Combustion",EF,Petroleum Coke: Industrial Boiler
Industrial,Aluminum,-,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Industrial,Aluminum,-,Coal,Not Specified,"Direct, Combustion",EF,Coal: Industrial Boiler
Industrial,Aluminum,-,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Agriculture,-,On Farm Energy Use,Residual Fuel Oil,Not Specified,"Direct, Combustion",EF,Residual Oil: Stationary Reciprocating Engine
Agriculture,-,On Farm Energy Use,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Farming Tractor
