Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Average Annual Change
,International Bunker Fuels a,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,"HFCs, PFCs, SF6 and NF3",+,+,+,+,+,+,+,-0.2,-0.2,-0.2,-0.1,+,-0.9,-1,-1,-1.1,-1.2,-1.2,-1.4,-1.7,-1.6,-1.6,-1.7,-1.7,-1.9,-2.1,-2.4,-2.2,-2,-0.9
,HFCs,NC,NC,NC,+,+,+,+,-0.2,-0.2,-0.1,-0.1,+,-0.9,-1,-1.1,-1.1,-1.3,-1.5,-1.6,-1.8,-1.8,-1.8,-1.9,-1.9,-2.1,-2.2,-2.4,-2.2,-1.8,-1
,Substitution of Ozone Depleting Substances d,NC,NC,NC,+,+,+,+,-0.2,-0.2,-0.1,-0.1,+,-0.9,-1,-1.1,-1.1,-1.3,-1.5,-1.7,-1.8,-1.8,-1.8,-1.9,-1.9,-2.1,-2.2,-2.4,-2.2,-1.8,-1
,HCFC-22 Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Electronics Industry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,NC,+,+,+,+,+,+,+,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,PFCs,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Electronics Industry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,0.1,NC,NC,+,+,+,+,+,+,+
,Substitution of Ozone Depleting Substances d,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,SF6,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,NC,NC,+,0.1,+,+,+,-0.2,+
,Electrical Transmission and Distribution,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,+,+,+,-0.2,+
,Electronics Industry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,NC,NC,+,+,+,+,+,+,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.1,-0.1,+
,NF3,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,NC,NC,+,+,+,+,+,+,+
,Electronics Industry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,NC,NC,+,+,+,+,+,+,+
,"Unspecified Mix of HFCs, NF3, PFCs and SF6",+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Electronics Industry,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Net Emissions (Sources and Sinks),-41.8,-40,-37.4,-31.3,-32.9,-37.1,-25.2,-32.8,-39.6,-45.7,-4.2,-39,3.4,-88.6,47.8,57.9,-1,11.8,-39.7,22.8,-33.9,-0.7,-20.3,-15.9,-79.6,6.4,-57.6,-7.1,-33.1,19.8
,Percent Change,-0.70%,-0.73%,-0.66%,-0.54%,-0.56%,-0.62%,-0.41%,-0.53%,-0.63%,-0.72%,-0.06%,-0.61%,0.05%,-1.35%,0.72%,0.90%,-0.02%,0.18%,-0.61%,0.38%,-0.54%,-0.01%,-0.35%,-0.27%,-1.30%,0.10%,-1.00%,-0.10%,-0.60%,-0.40%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Net change in total emissions presented without LULUCF. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Indicates a new source for the current Inventory year. Emissions from new sources are captured in net emissions and percent change totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Emissions from International Bunker Fuels are not included in totals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Emissions from Wood Biomass, Ethanol, and Biodiesel Consumption are not included specifically in summing Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for Land Use, Land-Use Change, and Forestry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c LULUCF emissions of CH4 and N2O are reported separately from gross emissions totals in Table 9-2. LULUCF emissions include the CH4, and N2O emissions from Peatlands Remaining Peatlands; CH4 and N2O emissions reported for Non-CO2 Emissions from Forest Fires, Non-CO2 Emissions from Grassland Fires, and Coastal Wetlands Remaining Coastal Wetlands; CH4 emissions from Land Converted to Coastal Wetlands; and N2O emissions from Forest Soils and Settlement Soils.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Small amounts of PFC emissions also result from this source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
