,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Scope,Formula,"Emissions Category, Detailed","Emissions Category, Aggregate",Year,EF_Unit (Numerator),Total Emissions
59,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2031,g,2436.842113553965
60,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2030,g,107451539.47763132
61,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2030,g,17273.85941576795
62,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2030,g,2495.3167312246014
63,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2029,g,119380379.93722266
64,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2029,g,19191.534249407738
65,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2029,g,2772.3368216545186
66,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2028,g,140517654.6416471
67,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2028,g,22589.55268126748
68,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2028,g,3263.2017778836553
69,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2027,g,169612433.69936606
70,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2027,g,27266.815804896258
71,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2027,g,3938.8616086031852
72,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2026,g,199454363.8890405
73,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2026,g,32064.19059633802
74,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2026,g,4631.87231888559
75,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2025,g,232314154.7727735
76,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2025,g,37346.71526668302
77,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2025,g,5394.965955099058
78,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2024,g,253602157.88110408
79,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2024,g,40768.96472651775
80,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2024,g,5889.331234450285
81,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2023,g,241481305.47529268
82,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2023,g,38820.42214187804
83,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2023,g,5607.852104863487
84,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2022,g,256297738.45950747
85,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2022,g,41202.30500420551
86,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2022,g,5951.929940344622
87,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2050,g,1184147.274271572
88,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2050,g,48.04144057523655
89,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2050,g,16.539997473090196
90,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2049,g,1188518.6480137154
91,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2049,g,48.21878936995848
92,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2049,g,16.60105618784631
93,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2048,g,1184464.214966897
94,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2048,g,48.05429901599907
95,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2048,g,16.544424454778785
96,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2047,g,1190928.7412163264
97,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2047,g,48.316568043177355
98,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2047,g,16.634720020333383
99,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2046,g,1189174.368074184
100,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2046,g,48.2453922571191
101,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2046,g,16.61021519059779
102,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2045,g,1200023.9872301305
103,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2045,g,48.68556667230321
104,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2045,g,16.76176109820775
105,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2044,g,1301630.0784616368
106,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2044,g,52.80777604611882
107,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2044,g,18.18098025171506
108,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2043,g,1399021.0264350912
109,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2043,g,56.75897497322088
110,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2043,g,19.54132289522087
111,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2042,g,1489887.811791533
112,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2042,g,60.44548539621672
113,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2042,g,20.810536981034566
114,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CO2,CO2,CO2,2041,g,1579148.8949503705
115,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",CH4,CH4,CH4,2041,g,64.06685168690422
116,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Petroleum,Energy supply,Electricity,Petroleum,"Electricity, Combustion",N2O,N2O,N2O,2041,g,22.057322851314648
