,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
39,Electric Power,Electricity Generation,2032,Electricity,CO2,mmbtu,g,879870192809925.0,14741967098.064966,59684.72097088162,Mitigation,NREL Electric Power Decarb,180686192969677.25,15623151744.911274,11565.284388185617,-48119.436582696006
40,Electric Power,Electricity Generation,2033,Electricity,CO2,mmbtu,g,878663203228748.0,14851012186.70416,59165.20653153858,Mitigation,NREL Electric Power Decarb,178285017100715.0,16001630893.803207,11141.677887955637,-48023.52864358294
41,Electric Power,Electricity Generation,2034,Electricity,CO2,mmbtu,g,865738229296511.1,14967185337.132162,57842.420588505505,Mitigation,NREL Electric Power Decarb,173786023544597.66,16355023360.287659,10625.849912668118,-47216.570675837385
42,Electric Power,Electricity Generation,2035,Electricity,CO2,mmbtu,g,862401720976649.1,15106263710.721754,57089.01535755362,Mitigation,NREL Electric Power Decarb,155369329137201.38,16762929471.621685,9268.626310229925,-47820.38904732369
43,Electric Power,Electricity Generation,2036,Electricity,CO2,mmbtu,g,860054394234714.2,15238571853.724499,56439.30431869875,Mitigation,NREL Electric Power Decarb,156737967502681.34,17186664156.58522,9119.743428664475,-47319.56089003428
44,Electric Power,Electricity Generation,2037,Electricity,CO2,mmbtu,g,856863946575686.2,15375388265.92038,55729.581052267094,Mitigation,NREL Electric Power Decarb,158783396375879.1,17631267634.459152,9005.78447720613,-46723.796575060966
45,Electric Power,Electricity Generation,2038,Electricity,CO2,mmbtu,g,854871202780300.1,15503647260.145748,55140.00598929155,Mitigation,NREL Electric Power Decarb,159096679619128.88,18065474017.059273,8806.670639745931,-46333.335349545625
46,Electric Power,Electricity Generation,2039,Electricity,CO2,mmbtu,g,852887294389043.0,15626224006.879532,54580.511197942295,Mitigation,NREL Electric Power Decarb,160959236858085.97,18472817920.59995,8713.301757746034,-45867.20944019626
47,Electric Power,Electricity Generation,2040,Electricity,CO2,mmbtu,g,855498331999447.6,15757117431.744698,54292.819464297354,Mitigation,NREL Electric Power Decarb,163013336114552.2,18876270660.6403,8635.886772616484,-45656.93269168087
48,Electric Power,Electricity Generation,2041,Electricity,CO2,mmbtu,g,862170411149844.4,15904171868.907461,54210.33036214738,Mitigation,NREL Electric Power Decarb,163450051682259.06,19278204463.491867,8478.489373416123,-45731.84098873126
49,Electric Power,Electricity Generation,2042,Electricity,CO2,mmbtu,g,868728902514493.5,16050592043.42814,54124.4148604594,Mitigation,NREL Electric Power Decarb,165452033795266.2,19676337849.390278,8408.680266708936,-45715.734593750465
50,Electric Power,Electricity Generation,2043,Electricity,CO2,mmbtu,g,869814053138917.0,16199567763.13734,53693.65811834857,Mitigation,NREL Electric Power Decarb,166912242098055.38,20061594897.26058,8319.988662558795,-45373.66945578977
51,Electric Power,Electricity Generation,2044,Electricity,CO2,mmbtu,g,859177042024996.2,16347461536.863773,52557.21446950886,Mitigation,NREL Electric Power Decarb,167272985037639.3,20444364856.99267,8181.86264076706,-44375.3518287418
52,Electric Power,Electricity Generation,2045,Electricity,CO2,mmbtu,g,854536618743988.4,16495768269.39794,51803.38404300203,Mitigation,NREL Electric Power Decarb,168277005617853.9,20804173732.622536,8088.617590901132,-43714.7664521009
53,Electric Power,Electricity Generation,2046,Electricity,CO2,mmbtu,g,844549715137222.8,16677505755.921148,50640.04938732373,Mitigation,NREL Electric Power Decarb,169304758384111.1,21199425467.551765,7986.289941831306,-42653.759445492426
54,Electric Power,Electricity Generation,2047,Electricity,CO2,mmbtu,g,842116495371389.5,16854500570.708035,49963.8949156957,Mitigation,NREL Electric Power Decarb,169586610978560.56,21584658789.478165,7856.812221707607,-42107.08269398809
55,Electric Power,Electricity Generation,2048,Electricity,CO2,mmbtu,g,837700663573392.2,17024732629.556435,49204.923319563335,Mitigation,NREL Electric Power Decarb,170075239137571.56,21959862334.619858,7744.822647155073,-41460.10067240826
56,Electric Power,Electricity Generation,2049,Electricity,CO2,mmbtu,g,838958877637810.6,17203050810.750954,48768.028814604666,Mitigation,NREL Electric Power Decarb,170490211822720.94,22348442001.700317,7628.729188806526,-41139.29962579814
