,Year,Sector,Formula,EF_Unit (Numerator),Total Emissions,End Use Application,Energy carrier,Case,Mitigation Case
235,2038,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
236,2039,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
237,2040,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
238,2041,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
239,2042,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
240,2043,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
241,2044,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
242,2045,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
243,2046,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
244,2047,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
245,2048,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
246,2049,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
247,2050,Electric Power,SF6,g,200000000.0,,Electricity,Mitigation,NREL Electric Power Decarb
