,Sector,Year,Energy Unit,Emissions Unit,CI_Reference,CI_Mitigation,baseline_CI,CI_Reference_perc,CI_Mitigation_perc
88,Industrial,2046,MJ,g,69.30543270492491,43.66607850772188,78.06695144573635,-11.223082980128273,-44.06585924125168
89,Industrial,2047,MJ,g,69.09462717906922,42.95369768503485,78.06695144573635,-11.493114692590133,-44.978384720336386
90,Industrial,2048,MJ,g,68.9487722754233,42.19064393689215,78.06695144573635,-11.679947790264388,-45.95581977321287
91,Industrial,2049,MJ,g,68.75299438443359,41.264094738088154,78.06695144573635,-11.930729827175087,-47.14268461376968
92,Industrial,2050,MJ,g,68.53153136574616,40.40566010985983,78.06695144573635,-12.214413273993637,-48.2422979742645
93,Residential,2020,MJ,g,86.80436339466473,88.65224971137462,86.80436339466473,0.0,2.1287942730577827
94,Residential,2021,MJ,g,89.57655751432804,93.97161495894095,86.80436339466473,3.1936114859333196,8.256787198230562
95,Residential,2022,MJ,g,89.94841347491553,83.11707714756939,86.80436339466473,3.621995435823951,-4.247812094803032
96,Residential,2023,MJ,g,85.90738942644856,77.28794076942663,86.80436339466473,-1.0333282027978146,-10.963069427709225
97,Residential,2024,MJ,g,81.94484004995321,72.73163680469987,86.80436339466473,-5.598247777726575,-16.2120036823285
98,Residential,2025,MJ,g,79.71900622748387,66.60590240669653,86.80436339466473,-8.162443557090066,-23.268946626719533
99,Residential,2026,MJ,g,80.6112502997057,59.19906816607898,86.80436339466473,-7.134564269311465,-31.80173685863637
100,Residential,2027,MJ,g,79.761721940001,51.31318790505431,86.80436339466473,-8.113234380446595,-40.886395685256325
101,Residential,2028,MJ,g,79.50776553341107,43.34934355317601,86.80436339466473,-8.40579617879224,-50.060870378043234
102,Residential,2029,MJ,g,79.36682612731425,35.34114893099256,86.80436339466473,-8.56816060447903,-59.286437283906466
103,Residential,2030,MJ,g,78.57316241122452,29.24678643407927,86.80436339466473,-9.482473762311045,-66.30723930189336
104,Residential,2031,MJ,g,78.07953351119112,27.94543734517883,86.80436339466473,-10.051142065065674,-67.80641404151298
105,Residential,2032,MJ,g,77.55885531844011,26.632733977904923,86.80436339466473,-10.650971580989536,-69.31866908945979
106,Residential,2033,MJ,g,77.38051018743141,25.23171428201099,86.80436339466473,-10.856427993586944,-70.93266594526767
107,Residential,2034,MJ,g,77.22083989079833,23.72405641885066,86.80436339466473,-11.04037070152102,-72.66951165693496
108,Residential,2035,MJ,g,76.32539084100699,21.860149826821463,86.80436339466473,-12.071942174167031,-74.81676154062427
109,Residential,2036,MJ,g,76.14463259686964,20.59556654692176,86.80436339466473,-12.280178531267556,-76.27358148658732
110,Residential,2037,MJ,g,75.85502055027973,19.385245763586354,86.80436339466473,-12.613816191016477,-77.66789017799786
111,Residential,2038,MJ,g,75.41549037269823,18.269640142169237,86.80436339466473,-13.120161909587253,-78.95308550434903
112,Residential,2039,MJ,g,75.32720304058141,17.488737201918102,86.80436339466473,-13.221870313017867,-79.85269804652123
113,Residential,2040,MJ,g,75.392528291876,16.794195427362677,86.80436339466473,-13.14661458998746,-80.65282115945463
114,Residential,2041,MJ,g,75.14669739947048,16.514466657651393,86.80436339466473,-13.429815667435408,-80.9750731278718
115,Residential,2042,MJ,g,75.13192574660685,16.113369465691488,86.80436339466473,-13.446832845243012,-81.4371434389416
116,Residential,2043,MJ,g,74.97682174574193,15.438902417217033,86.80436339466473,-13.625515108206832,-82.21414014981883
117,Residential,2044,MJ,g,74.79243481716236,14.783864833018505,86.80436339466473,-13.837931767195776,-82.96875381044823
118,Residential,2045,MJ,g,74.33898792619927,14.16928582701133,86.80436339466473,-14.360309759764482,-83.67675854888854
119,Residential,2046,MJ,g,74.01239422992982,13.58035455923923,86.80436339466473,-14.736550865046885,-84.3552166870981
120,Residential,2047,MJ,g,73.79335135689591,12.972236871481435,86.80436339466473,-14.988891720353909,-85.05577788468781
121,Residential,2048,MJ,g,73.78465325523229,12.376585771811635,86.80436339466473,-14.998912071086831,-85.7419773755609
122,Residential,2049,MJ,g,73.745721850692,11.795212622672782,86.80436339466473,-15.043761665067827,-86.41172844152469
123,Residential,2050,MJ,g,73.61864725691339,11.25431436267593,86.80436339466473,-15.190153607602838,-87.03485179482618
124,Transportation,2020,MJ,g,71.06688492115043,66.10951158045255,71.06688492115043,0.0,-6.975644628575109
125,Transportation,2021,MJ,g,70.81003262356667,65.85040837096355,71.06688492115043,-0.3614233237727292,-7.340235267065141
126,Transportation,2022,MJ,g,70.9946333351522,66.13260072853953,71.06688492115043,-0.1016670226623763,-6.943155307968755
127,Transportation,2023,MJ,g,70.98214554871782,66.09663692841096,71.06688492115043,-0.11923890082789976,-6.993760875060197
128,Transportation,2024,MJ,g,70.98385773748537,66.15696338349676,71.06688492115043,-0.11682963697815985,-6.908874003836372
129,Transportation,2025,MJ,g,70.9546218387691,65.96131565320138,71.06688492115043,-0.15796820489020966,-7.184174842634149
130,Transportation,2026,MJ,g,70.9662961516637,65.70023750263874,71.06688492115043,-0.14154098578872348,-7.5515444703479675
131,Transportation,2027,MJ,g,70.9462750915543,65.28348340989993,71.06688492115043,-0.1697131226871025,-8.137969629127907
132,Transportation,2028,MJ,g,70.93601677080889,64.6088263113661,71.06688492115043,-0.18414786364527053,-9.087296589613608
133,Transportation,2029,MJ,g,70.9252083304063,63.50818019340044,71.06688492115043,-0.19935669180001048,-10.636043406343848
134,Transportation,2030,MJ,g,70.9217431835286,61.95922519875548,71.06688492115043,-0.2042325870662037,-12.815616911448993
135,Transportation,2031,MJ,g,70.90079227868132,60.09445089094178,71.06688492115043,-0.23371313186639828,-15.439587710060321
136,Transportation,2032,MJ,g,70.8858641347894,57.436094236821326,71.06688492115043,-0.2547188983474882,-19.180228174419963
137,Transportation,2033,MJ,g,70.87436538738383,53.8768564122916,71.06688492115043,-0.27089907483661685,-24.188521176820082
138,Transportation,2034,MJ,g,70.86258159796745,49.29702905375318,71.06688492115043,-0.2874803411035405,-30.632911364485967
139,Transportation,2035,MJ,g,70.84118938749077,44.86319461579429,71.06688492115043,-0.31758185814683215,-36.87187124415183
140,Transportation,2036,MJ,g,70.8355859171291,40.39703928947079,71.06688492115043,-0.32546664213292437,-43.15631065820347
141,Transportation,2037,MJ,g,70.83916934611284,36.49114781863469,71.06688492115043,-0.32042430914236036,-48.65238871927191
142,Transportation,2038,MJ,g,70.83292435281008,32.69105875846083,71.06688492115043,-0.3292117961831767,-53.99958954901154
143,Transportation,2039,MJ,g,70.82519607449638,29.184284531345728,71.06688492115043,-0.34008645084445965,-58.934059704845595
144,Transportation,2040,MJ,g,70.81052660767816,26.071603190193212,71.06688492115043,-0.3607282263134354,-63.313991855531626
145,Transportation,2041,MJ,g,70.80742525051626,23.118508332329764,71.06688492115043,-0.365092223926862,-67.46936585446227
146,Transportation,2042,MJ,g,70.79602511702058,20.403416952083568,71.06688492115043,-0.3811336383047857,-71.28983917794989
147,Transportation,2043,MJ,g,70.79050847647217,18.12617588344209,71.06688492115043,-0.3888962418782054,-74.49420232284939
148,Transportation,2044,MJ,g,70.77638908125016,15.818390800883755,71.06688492115043,-0.408763997778406,-77.74154471743844
149,Transportation,2045,MJ,g,70.76359369747254,13.638272501111592,71.06688492115043,-0.42676870389689053,-80.80924397313402
150,Transportation,2046,MJ,g,70.74169145972357,11.79251477310804,71.06688492115043,-0.4575878931342911,-83.4064560643231
151,Transportation,2047,MJ,g,70.72567307608708,9.949550199843486,71.06688492115043,-0.4801277633625483,-85.99973783727451
152,Transportation,2048,MJ,g,70.71509217744739,8.732618584533576,71.06688492115043,-0.49501641178357825,-87.7121129000905
153,Transportation,2049,MJ,g,70.68462952319463,8.09171374102874,71.06688492115043,-0.5378811782448595,-88.61394621418034
154,Transportation,2050,MJ,g,70.65593023369476,7.979700559933971,71.06688492115043,-0.578264669841137,-88.77156277668911
